year,tau,method,fit_scope,domain,metric,value,n_test,n_quarters
2024,1w,platt,per_domain,Finance,log_loss,0.4267197556527226,110.0,1.0
2024,1w,platt,per_domain,Weather,brier,0.11720454123220772,40.0,1.0
2024,1w,platt,per_domain,Weather,ece,0.12459737591899481,40.0,1.0
2024,1w,platt,per_domain,Weather,log_loss,0.3867223086460464,40.0,1.0
2024,1w,platt,pooled,ALL,brier,0.12461830351890979,403.0,1.0
2024,1w,platt,pooled,ALL,ece,0.0559406091130783,403.0,1.0
2024,1w,platt,pooled,ALL,log_loss,0.3909005942194549,403.0,1.0
2024,1w,platt,pooled,Crypto,brier,0.135172716305247,16.0,1.0
2024,1w,platt,pooled,Crypto,log_loss,0.4452993269535278,16.0,1.0
2024,1w,platt,pooled,Entertainment,brier,0.1259442041092447,155.0,1.0
2024,1w,platt,pooled,Entertainment,ece,0.11445132389459561,155.0,1.0
2024,1w,platt,pooled,Entertainment,log_loss,0.3902373767824317,155.0,1.0
2024,1w,platt,pooled,Finance,brier,0.1386832906676737,110.0,1.0
2024,1w,platt,pooled,Finance,ece,0.0828125324151151,110.0,1.0
2024,1w,platt,pooled,Finance,log_loss,0.4324678490046889,110.0,1.0
2024,1w,platt,pooled,Politics,brier,0.1027352654917032,42.0,1.0
2024,1w,platt,pooled,Politics,ece,0.1232412447678928,42.0,1.0
2024,1w,platt,pooled,Politics,log_loss,0.3309516933580957,42.0,1.0
2024,1w,platt,pooled,Sports,brier,0.10767305988335821,40.0,1.0
2024,1w,platt,pooled,Sports,ece,0.0993327192720497,40.0,1.0
2024,1w,platt,pooled,Sports,log_loss,0.3405599016026569,40.0,1.0
2024,1w,platt,pooled,Weather,brier,0.1165023925218444,40.0,1.0
2024,1w,platt,pooled,Weather,ece,0.127339458168481,40.0,1.0
2024,1w,platt,pooled,Weather,log_loss,0.3706881565561212,40.0,1.0
2024,1w,raw,per_domain,ALL,brier,0.1293924590163934,305.0,1.0
2024,1w,raw,per_domain,ALL,ece,0.059180327868852405,305.0,1.0
2024,1w,raw,per_domain,ALL,log_loss,0.4048536888303725,305.0,1.0
2024,1w,raw,per_domain,Entertainment,brier,0.1258503225806451,155.0,1.0
2024,1w,raw,per_domain,Entertainment,ece,0.11587096774193552,155.0,1.0
2024,1w,raw,per_domain,Entertainment,log_loss,0.3923058916163356,155.0,1.0
2024,1w,raw,per_domain,Finance,brier,0.1388854545454545,110.0,1.0
2024,1w,raw,per_domain,Finance,ece,0.0821818181818181,110.0,1.0
2024,1w,raw,per_domain,Finance,log_loss,0.4338269226777526,110.0,1.0
2024,1w,raw,per_domain,Weather,brier,0.1170124999999999,40.0,1.0
2024,1w,raw,per_domain,Weather,ece,0.12925,40.0,1.0
2024,1w,raw,per_domain,Weather,log_loss,0.3738000099544708,40.0,1.0
2024,1w,raw,pooled,ALL,brier,0.1248446650124069,403.0,1.0
2024,1w,raw,pooled,ALL,ece,0.05866004962779149,403.0,1.0
2024,1w,raw,pooled,ALL,log_loss,0.39327332490088507,403.0,1.0
2024,1w,raw,pooled,Crypto,brier,0.1373375,16.0,1.0
2024,1w,raw,pooled,Crypto,log_loss,0.4500264396511299,16.0,1.0
2024,1w,raw,pooled,Entertainment,brier,0.1258503225806451,155.0,1.0
2024,1w,raw,pooled,Entertainment,ece,0.11587096774193552,155.0,1.0
2024,1w,raw,pooled,Entertainment,log_loss,0.3923058916163356,155.0,1.0
2024,1w,raw,pooled,Finance,brier,0.1388854545454545,110.0,1.0
2024,1w,raw,pooled,Finance,ece,0.0821818181818181,110.0,1.0
2024,1w,raw,pooled,Finance,log_loss,0.4338269226777526,110.0,1.0
2024,1w,raw,pooled,Politics,brier,0.10360476190476191,42.0,1.0
2024,1w,raw,pooled,Politics,ece,0.129047619047619,42.0,1.0
2024,1w,raw,pooled,Politics,log_loss,0.336021716404198,42.0,1.0
2024,1w,raw,pooled,Sports,brier,0.1074725,40.0,1.0
2024,1w,raw,pooled,Sports,ece,0.09975,40.0,1.0
2024,1w,raw,pooled,Sports,log_loss,0.3423859929599663,40.0,1.0
