domain,tau,method,bin,lo,hi,n,mean_p,mean_y
Politics,1w,platt,6,0.5543413863887666,0.6813760339933767,70,0.626592469561665,0.6
Politics,1w,platt,7,0.6813760339933767,0.776211294416982,67,0.728532067754425,0.5970149253731343
Politics,1w,platt,8,0.776211294416982,0.8991955709792395,72,0.8392066453322541,0.8333333333333334
Politics,1w,platt,9,0.8991955709792395,0.9643094053277288,71,0.9334224384104409,0.8309859154929577
Politics,1w,venn_abers,0,0.011363636363636362,0.07142857142857142,63,0.03748088571260336,0.047619047619047616
Politics,1w,venn_abers,1,0.07142857142857142,0.09354588730211447,70,0.08641275080708105,0.1
Politics,1w,venn_abers,2,0.09354588730211447,0.16949152542372883,62,0.12329904619792657,0.12903225806451613
Politics,1w,venn_abers,3,0.16949152542372883,0.2853881278538813,83,0.2127123554029435,0.3373493975903614
Politics,1w,venn_abers,4,0.2853881278538813,0.47058823529411764,68,0.34626988974077877,0.4264705882352941
Politics,1w,venn_abers,5,0.47058823529411764,0.53125,69,0.5093521535339296,0.6086956521739131
Politics,1w,venn_abers,6,0.53125,0.609375,67,0.5454352743068299,0.6417910447761194
Politics,1w,venn_abers,7,0.609375,0.7936507936507937,76,0.6977533690996911,0.5921052631578947
Politics,1w,venn_abers,8,0.7936507936507937,0.9178470254957507,67,0.8371310975894348,0.7910447761194029
Politics,1w,venn_abers,9,0.9178470254957507,0.9836065573770493,74,0.9367934555304848,0.8513513513513513
Sports,24h,raw,0,0.05,0.12,836,0.07727272727272727,0.05741626794258373
Sports,24h,raw,1,0.12,0.2,777,0.15755469755469756,0.16602316602316602
Sports,24h,raw,2,0.2,0.27,812,0.23256157635467983,0.24014778325123154
Sports,24h,raw,3,0.27,0.34,890,0.2965505617977528,0.27303370786516856
Sports,24h,raw,4,0.34,0.42,897,0.37444816053511704,0.34894091415830547
Sports,24h,raw,5,0.42,0.48,831,0.4456077015643803,0.4464500601684717
Sports,24h,raw,6,0.48,0.54,860,0.5041860465116279,0.48604651162790696
Sports,24h,raw,7,0.54,0.63,888,0.5765878378378378,0.5495495495495496
Sports,24h,raw,8,0.63,0.75,834,0.6817745803357314,0.6750599520383693
Sports,24h,raw,9,0.75,0.95,898,0.8403229398663697,0.8195991091314031
Sports,24h,platt,0,0.044718759551014536,0.1091474217069761,834,0.0724141491955658,0.05755395683453238
Sports,24h,platt,1,0.1091474217069761,0.18954066332717967,803,0.14932143805174644,0.16936488169364883
Sports,24h,platt,2,0.18954066332717967,0.2563865201182612,827,0.2221626628573666,0.23821039903264812
