family,comparison,metric,tau,domain,fit_scope,alpha,point_estimate,ci_lo,ci_hi,boot_median,significant,n_markets,n_quarters
H1,binning10 - raw,dbrier,24h,Entertainment,per_domain,NA,0.002029891144145158,-0.0010104189520519862,0.00509426642681642,0.0020843166342703018,False,2124,6
H1,isotonic - raw,dbrier,24h,Entertainment,per_domain,NA,0.002770745597316608,0.0002106615354042381,0.005282251297943519,0.002762150105558217,True,2124,6
H1,platt - raw,dbrier,24h,Entertainment,per_domain,NA,0.000405508582193678,-0.0014462749652318064,0.0022464489026950926,0.0003658440473913225,False,2124,6
H1,venn_abers - raw,dbrier,24h,Entertainment,per_domain,NA,0.0016842540654280777,-0.0007196365094288165,0.004189223273470437,0.0016909528839199853,False,2124,6
H1,binning10 - raw,dbrier,24h,Finance,per_domain,NA,0.003490193371466051,0.002081684014952957,0.004757281300804415,0.0034950587276879794,True,5042,13
H1,isotonic - raw,dbrier,24h,Finance,per_domain,NA,0.0013027353357269403,0.00022885373854955924,0.0024176818693814797,0.0013013192493505246,True,5042,13
H1,platt - raw,dbrier,24h,Finance,per_domain,NA,0.0005179776745406838,-0.00010336867990600918,0.0010850760302372135,0.0005100773977497445,False,5042,13
H1,venn_abers - raw,dbrier,24h,Finance,per_domain,NA,0.0011361068223364708,5.732303093775598e-05,0.0022236112120955728,0.0010973631883065276,True,5042,13
H1,binning10 - raw,dbrier,24h,Politics,per_domain,NA,0.007621612799035843,0.0026292304207339596,0.012286849275044623,0.007523655577270326,True,850,2
H1,isotonic - raw,dbrier,24h,Politics,per_domain,NA,0.0039716461715025575,-0.0001915241298128662,0.00849772177872587,0.004002586820038114,False,850,2
H1,platt - raw,dbrier,24h,Politics,per_domain,NA,0.0012588811687645985,-0.0008240018442997435,0.0031607828334588735,0.001221381717213318,False,850,2
H1,venn_abers - raw,dbrier,24h,Politics,per_domain,NA,0.004319968629413837,-3.53702112664784e-05,0.00863124234091726,0.004312563291449689,False,850,2
H1,binning10 - raw,dbrier,24h,Sports,per_domain,NA,0.0025235826162934697,0.0013376600785532985,0.0037126240144539527,0.002496843681210663,True,8056,2
H1,isotonic - raw,dbrier,24h,Sports,per_domain,NA,0.001806028322489808,0.0007900349991004016,0.0028689306952969667,0.0017915689643397347,True,8056,2
H1,platt - raw,dbrier,24h,Sports,per_domain,NA,0.0008122114442347598,0.0001869467176699459,0.0014620340894320365,0.0008264730151654673,True,8056,2
H1,venn_abers - raw,dbrier,24h,Sports,per_domain,NA,0.0011550476494517038,0.0002808229109504565,0.002157651744941239,0.001192048316529447,True,8056,2
H1,binning10 - raw,dbrier,24h,Weather,per_domain,NA,0.001537972494367778,0.001026234667590153,0.00203880988024979,0.001536705889611553,True,19253,14
H1,isotonic - raw,dbrier,24h,Weather,per_domain,NA,0.0005665957800491847,0.0001791927975229483,0.0009821064331877658,0.0005835455745845899,True,19253,14
H1,platt - raw,dbrier,24h,Weather,per_domain,NA,8.520892829986291e-05,-0.0001652504645377277,0.0003534487822233287,9.094148095162925e-05,False,19253,14
H1,venn_abers - raw,dbrier,24h,Weather,per_domain,NA,0.0005686544149714482,0.00017058356534529004,0.0009684296235500393,0.0005684101815450425,True,19253,14
H1,binning10 - raw,dlog_loss,24h,ALL,per_domain,NA,0.00958500715975099,0.007525236499237808,0.011962739403688232,0.00958213909879048,True,36580,14
H1,isotonic - raw,dlog_loss,24h,ALL,per_domain,NA,0.012584474751596752,0.009111848394224598,0.016352263275118944,0.012491384600875583,True,36580,14
H1,platt - raw,dlog_loss,24h,ALL,per_domain,NA,0.0012462335832779232,0.00048060171888091523,0.0020649298222230016,0.0012535211885126075,True,36580,14
H1,venn_abers - raw,dlog_loss,24h,ALL,per_domain,NA,0.0025753447714148554,0.0014777421856169762,0.0036596250352728906,0.0025908061183512144,True,36580,14
H1,binning10 - raw,dlog_loss,24h,Crypto,per_domain,NA,0.012515733002178725,0.0009051013498389426,0.024369669295170485,0.012407416115982749,True,1255,3
H1,isotonic - raw,dlog_loss,24h,Crypto,per_domain,NA,0.012635046028290907,0.0019696484152957154,0.023599308504282535,0.012646181396487384,True,1255,3
H1,platt - raw,dlog_loss,24h,Crypto,per_domain,NA,0.0011644626688247354,-0.006383510055743468,0.008787385442378023,0.001139605905364637,False,1255,3
H1,venn_abers - raw,dlog_loss,24h,Crypto,per_domain,NA,0.004705166659736121,-0.0041851872343767185,0.014239277386610393,0.004808773240925153,False,1255,3
H1,binning10 - raw,dlog_loss,24h,Entertainment,per_domain,NA,0.04092671449059338,0.014803106342442526,0.07235874342699561,0.03989761652761688,True,2124,6
H1,isotonic - raw,dlog_loss,24h,Entertainment,per_domain,NA,0.0613357468788798,0.03120079820357344,0.09585164018221967,0.06011592958213259,True,2124,6
H1,platt - raw,dlog_loss,24h,Entertainment,per_domain,NA,0.0031810263706072333,-0.0029065996706697504,0.009420160884701772,0.0032184396033183363,False,2124,6
H1,venn_abers - raw,dlog_loss,24h,Entertainment,per_domain,NA,0.0046191185672251394,-0.0017873434417660795,0.011348556657882963,0.004603835572206791,False,2124,6
H1,binning10 - raw,dlog_loss,24h,Finance,per_domain,NA,0.010754561316541312,0.007133801667041254,0.014491876490034568,0.01081016061304288,True,5042,13
H1,isotonic - raw,dlog_loss,24h,Finance,per_domain,NA,0.009948260865439753,0.0019393803913113098,0.01908689889025357,0.009604437903737027,True,5042,13
H1,platt - raw,dlog_loss,24h,Finance,per_domain,NA,0.001040587653243135,-0.0006710219684803191,0.0027879524725761525,0.0010345452133467595,False,5042,13
H1,venn_abers - raw,dlog_loss,24h,Finance,per_domain,NA,0.00319276025665103,0.00014552669078902092,0.006321061034861399,0.0031841829410918293,True,5042,13
H1,binning10 - raw,dlog_loss,24h,Politics,per_domain,NA,0.019637696595884838,0.00749396562683874,0.031756232364316565,0.019351636061743713,True,850,2
H1,isotonic - raw,dlog_loss,24h,Politics,per_domain,NA,0.02137991960914831,0.0004649028292853752,0.05451301746918552,0.02050087897353815,True,850,2
H1,platt - raw,dlog_loss,24h,Politics,per_domain,NA,0.004269526372736265,-0.0007288851029135546,0.009047273862924256,0.0043575498410687395,False,850,2
H1,venn_abers - raw,dlog_loss,24h,Politics,per_domain,NA,0.011735246891058952,0.0013518923616999937,0.022237498143194832,0.01183602563033553,True,850,2
H1,binning10 - raw,dlog_loss,24h,Sports,per_domain,NA,0.01313641318966343,0.007970029418633923,0.01887679184473198,0.012931048974829619,True,8056,2
H1,isotonic - raw,dlog_loss,24h,Sports,per_domain,NA,0.02278327582868023,0.013173163437778893,0.034449602807899604,0.022573668410127583,True,8056,2
H1,platt - raw,dlog_loss,24h,Sports,per_domain,NA,0.0036015733575896296,0.0016864754162905545,0.005805051235613872,0.0036814133263112173,True,8056,2
H1,venn_abers - raw,dlog_loss,24h,Sports,per_domain,NA,0.0029084633559049774,0.0005590424044334464,0.00538826663615097,0.002877560941833726,True,8056,2
H1,binning10 - raw,dlog_loss,24h,Weather,per_domain,NA,0.0037002280417339924,0.0022885595198007544,0.005172964311535968,0.0037063965113878217,True,19253,14
H1,isotonic - raw,dlog_loss,24h,Weather,per_domain,NA,0.003237513335583656,0.0011142477253471904,0.005681591745253401,0.003164034873967582,True,19253,14
H1,platt - raw,dlog_loss,24h,Weather,per_domain,NA,-2.7044695240125772e-05,-0.0006525388565555559,0.0005852746258174886,-9.606447195658154e-08,False,19253,14
H1,venn_abers - raw,dlog_loss,24h,Weather,per_domain,NA,0.0015055670221261772,0.0004906960143033927,0.002539945169203475,0.0014775122156836886,True,19253,14
H1,binning10 - raw,dbrier,24h,ALL,pooled,NA,0.002636381852026559,0.0022269938666064494,0.0030581480262786742,0.0026472843493961715,True,38346,14
H1,isotonic - raw,dbrier,24h,ALL,pooled,NA,0.0005736183789582323,0.00033989714987221113,0.0008234548458262024,0.0005786863402011872,True,38346,14
H1,platt - raw,dbrier,24h,ALL,pooled,NA,0.00011918219257168937,-3.587339633771536e-06,0.00024383227808931035,0.00011924422904896844,False,38346,14
H1,venn_abers - raw,dbrier,24h,ALL,pooled,NA,0.0005533562036721204,0.0003231260464596886,0.0007721556438120179,0.0005600646291282635,True,38346,14
H1,binning10 - raw,dbrier,24h,Crypto,pooled,NA,0.005481109686661477,0.003306911727032716,0.007535794409177791,0.005408498337036586,True,1810,7
H1,isotonic - raw,dbrier,24h,Crypto,pooled,NA,0.0009993248107894263,-9.016481157862697e-05,0.0021489980806232946,0.0009826268793393953,False,1810,7
H1,platt - raw,dbrier,24h,Crypto,pooled,NA,0.0009541790834964346,0.0004274327672483435,0.0014839951156610332,0.0009446825251309018,True,1810,7
H1,venn_abers - raw,dbrier,24h,Crypto,pooled,NA,0.001111530270767819,-5.2355502441533226e-05,0.0022190027053700196,0.0011333385624127442,False,1810,7
H1,binning10 - raw,dbrier,24h,Entertainment,pooled,NA,0.004529002142757936,0.0024932730748683744,0.006803563929558965,0.004563564773080807,True,2297,12
H1,isotonic - raw,dbrier,24h,Entertainment,pooled,NA,0.0005379584510582175,-0.0003683486295875521,0.0014176008251003838,0.0005539503498547752,False,2297,12
H1,platt - raw,dbrier,24h,Entertainment,pooled,NA,-6.147808781825496e-05,-0.000429319907991596,0.0003570624495515576,-5.7674951769799885e-05,False,2297,12
H1,venn_abers - raw,dbrier,24h,Entertainment,pooled,NA,0.00037568857221016624,-0.0005224897225300365,0.0012115693044590808,0.0003804180777190198,False,2297,12
H1,binning10 - raw,dbrier,24h,Finance,pooled,NA,0.0035090060734908187,0.002372782664083187,0.004618631580646565,0.003489959121338378,True,5282,14
H1,isotonic - raw,dbrier,24h,Finance,pooled,NA,0.0010548184386959432,0.00041896356717933703,0.0016703346431333763,0.0010561493218020882,True,5282,14
H1,platt - raw,dbrier,24h,Finance,pooled,NA,0.00047250909944670486,0.00019500829299476713,0.000733990433823644,0.0004664394511379171,True,5282,14
H1,venn_abers - raw,dbrier,24h,Finance,pooled,NA,0.0009558791068619032,0.00029249264703259703,0.0015808100487464882,0.0009385174892727619,True,5282,14
H1,binning10 - raw,dbrier,24h,Politics,pooled,NA,0.004097243732014218,0.0010268043865173464,0.007294981601409205,0.004170730072965751,True,1181,12
