test_quarter,tau,domain,method,bin,lo,hi,n,mean_p,mean_y
2025Q2,24h,Sports,venn_abers,4,0.3494363929146538,0.40616246498599434,124,0.36660486229710837,0.3548387096774194
2025Q2,24h,Sports,venn_abers,5,0.40616246498599434,0.46453900709219864,139,0.42538426385924555,0.39568345323741005
2025Q2,24h,Sports,venn_abers,6,0.46453900709219864,0.6037296037296038,235,0.5022149818631744,0.4723404255319149
2025Q2,24h,Sports,venn_abers,7,0.6037296037296038,0.7224080267558528,217,0.6089219213158094,0.6682027649769585
2025Q2,24h,Sports,venn_abers,8,0.7224080267558528,0.7663551401869159,177,0.7224080267558527,0.6779661016949152
2025Q2,24h,Sports,venn_abers,9,0.7663551401869159,0.9497206703910613,211,0.8307267932559212,0.8199052132701422
2025Q3,24h,Politics,raw,0,0.05,0.08,38,0.05473684210526316,0.0
2025Q3,24h,Politics,raw,1,0.08,0.16,48,0.11041666666666665,0.08333333333333333
2025Q3,24h,Politics,raw,2,0.16,0.3,46,0.2393478260869565,0.10869565217391304
2025Q3,24h,Politics,raw,3,0.3,0.3680000000000001,45,0.32977777777777784,0.28888888888888886
2025Q3,24h,Politics,raw,4,0.3680000000000001,0.46,43,0.40906976744186047,0.46511627906976744
2025Q3,24h,Politics,raw,5,0.46,0.5820000000000004,46,0.5302173913043479,0.5
2025Q3,24h,Politics,raw,6,0.5820000000000004,0.65,40,0.61825,0.675
2025Q3,24h,Politics,raw,7,0.65,0.73,45,0.681111111111111,0.6888888888888889
2025Q3,24h,Politics,raw,8,0.73,0.83,44,0.7654545454545455,0.8181818181818182
2025Q3,24h,Politics,raw,9,0.83,0.95,48,0.8949999999999999,0.9791666666666666
2025Q3,24h,Sports,raw,0,0.05,0.12,570,0.07821052631578948,0.05964912280701754
2025Q3,24h,Sports,raw,1,0.12,0.21,641,0.16237129485179405,0.17004680187207488
2025Q3,24h,Sports,raw,2,0.21,0.27,532,0.23759398496240602,0.24436090225563908
2025Q3,24h,Sports,raw,3,0.27,0.34,671,0.29642324888226523,0.26527570789865873
2025Q3,24h,Sports,raw,4,0.34,0.42,689,0.3749056603773585,0.36429608127721336
2025Q3,24h,Sports,raw,5,0.42,0.47,528,0.4409848484848485,0.4602272727272727
2025Q3,24h,Sports,raw,6,0.47,0.53,710,0.49471830985915494,0.48169014084507045
2025Q3,24h,Sports,raw,7,0.53,0.6,593,0.5569308600337268,0.5160202360876898
2025Q3,24h,Sports,raw,8,0.6,0.73,658,0.6560334346504558,0.648936170212766
2025Q3,24h,Sports,raw,9,0.73,0.95,632,0.826376582278481,0.805379746835443
