method,fit_scope,domain,tau,alpha,metric,value,n_test
Conformal-mondrian,pooled,Sports,24h,NA,log_loss,0.5745580563999474,23174
Conformal-mondrian,pooled,Sports,24h,NA,ece,0.016540519547769066,23174
Conformal-mondrian,pooled,Crypto,24h,NA,brier,0.207154303030303,825
Conformal-mondrian,pooled,Crypto,24h,NA,log_loss,0.6097780260804434,825
Conformal-mondrian,pooled,Crypto,24h,NA,ece,0.09113939393939399,825
Conformal-mondrian,pooled,Politics,24h,NA,brier,0.1801702743902439,1312
Conformal-mondrian,pooled,Politics,24h,NA,log_loss,0.5299145561010813,1312
Conformal-mondrian,pooled,Politics,24h,NA,ece,0.056890243902439006,1312
Conformal-mondrian,pooled,Finance,24h,NA,brier,0.1578256140350877,570
Conformal-mondrian,pooled,Finance,24h,NA,log_loss,0.48315500821374346,570
Conformal-mondrian,pooled,Finance,24h,NA,ece,0.03859649122807016,570
Conformal-mondrian,pooled,Weather,24h,NA,brier,0.15272917169765757,4141
Conformal-mondrian,pooled,Weather,24h,NA,log_loss,0.46673319458250495,4141
Conformal-mondrian,pooled,Weather,24h,NA,ece,0.02712146824438541,4141
Conformal-mondrian,pooled,Entertainment,24h,NA,brier,0.1496940401940402,1443
Conformal-mondrian,pooled,Entertainment,24h,NA,log_loss,0.46744860739628963,1443
Conformal-mondrian,pooled,Entertainment,24h,NA,ece,0.042252252252252244,1443
Conformal-mondrian,pooled,ALL,24h,0.1,coverage,0.923120928015255,31465
Conformal-mondrian,pooled,ALL,24h,0.1,avg_set_size,1.52219926902908,31465
Conformal-mondrian,pooled,Sports,24h,0.1,coverage,0.9235781479243981,23174
Conformal-mondrian,pooled,Sports,24h,0.1,avg_set_size,1.5642530422024683,23174
Conformal-mondrian,pooled,Crypto,24h,0.1,coverage,0.8836363636363637,825
Conformal-mondrian,pooled,Crypto,24h,0.1,avg_set_size,1.4678787878787878,825
Conformal-mondrian,pooled,Politics,24h,0.1,coverage,0.9352134146341463,1312
Conformal-mondrian,pooled,Politics,24h,0.1,avg_set_size,1.5121951219512195,1312
Conformal-mondrian,pooled,Finance,24h,0.1,coverage,0.9263157894736842,570
Conformal-mondrian,pooled,Finance,24h,0.1,avg_set_size,1.419298245614035,570
Conformal-mondrian,pooled,Weather,24h,0.1,coverage,0.925863318039121,4141
Conformal-mondrian,pooled,Weather,24h,0.1,avg_set_size,1.374064235691862,4141
Conformal-mondrian,pooled,Entertainment,24h,0.1,coverage,0.9182259182259183,1443
Conformal-mondrian,pooled,Entertainment,24h,0.1,avg_set_size,1.3527373527373527,1443
Conformal-mondrian,pooled,ALL,24h,0.05,coverage,0.9621484188781185,31465
Conformal-mondrian,pooled,ALL,24h,0.05,avg_set_size,1.684252343874146,31465
Conformal-mondrian,pooled,Sports,24h,0.05,coverage,0.9615085872098041,23174
Conformal-mondrian,pooled,Sports,24h,0.05,avg_set_size,1.7114870113057736,23174
Conformal-mondrian,pooled,Crypto,24h,0.05,coverage,0.9563636363636364,825
Conformal-mondrian,pooled,Crypto,24h,0.05,avg_set_size,1.7418181818181817,825
Conformal-mondrian,pooled,Politics,24h,0.05,coverage,0.9763719512195121,1312
Conformal-mondrian,pooled,Politics,24h,0.05,avg_set_size,1.6821646341463414,1312
Conformal-mondrian,pooled,Finance,24h,0.05,coverage,0.9771929824561404,570
Conformal-mondrian,pooled,Finance,24h,0.05,avg_set_size,1.7263157894736842,570
Conformal-mondrian,pooled,Weather,24h,0.05,coverage,0.9630524028012557,4141
Conformal-mondrian,pooled,Weather,24h,0.05,avg_set_size,1.5469693310794495,4141
Conformal-mondrian,pooled,Entertainment,24h,0.05,coverage,0.9542619542619543,1443
Conformal-mondrian,pooled,Entertainment,24h,0.05,avg_set_size,1.5932085932085933,1443
Conformal-mondrian,pooled,ALL,24h,0.2,coverage,0.801430160495789,31465
Conformal-mondrian,pooled,ALL,24h,0.2,avg_set_size,1.2050214524074367,31465
Conformal-mondrian,pooled,Sports,24h,0.2,coverage,0.7967118322257702,23174
Conformal-mondrian,pooled,Sports,24h,0.2,avg_set_size,1.2353499611633727,23174
Conformal-mondrian,pooled,Crypto,24h,0.2,coverage,0.7624242424242424,825
Conformal-mondrian,pooled,Crypto,24h,0.2,avg_set_size,1.1515151515151516,825
Conformal-mondrian,pooled,Politics,24h,0.2,coverage,0.8315548780487805,1312
Conformal-mondrian,pooled,Politics,24h,0.2,avg_set_size,1.2538109756097562,1312
Conformal-mondrian,pooled,Finance,24h,0.2,coverage,0.7333333333333333,570
Conformal-mondrian,pooled,Finance,24h,0.2,avg_set_size,0.9315789473684211,570
Conformal-mondrian,pooled,Weather,24h,0.2,coverage,0.8357884568944699,4141
Conformal-mondrian,pooled,Weather,24h,0.2,avg_set_size,1.1371649360057956,4141
Conformal-mondrian,pooled,Entertainment,24h,0.2,coverage,0.8004158004158004,1443
Conformal-mondrian,pooled,Entertainment,24h,0.2,avg_set_size,1.006930006930007,1443
Raw,per_domain,Sports,24h,NA,brier,0.19672643911279883,23174
Raw,per_domain,Sports,24h,NA,log_loss,0.5745580563999474,23174
