tau,domain,test_quarter,n_test,cov_static_once,cov_rolling,cov_aci_g0.005,absdev_static_once,absdev_rolling,absdev_aci_g0.005,mad_static_once,mad_rolling,mad_aci_g0.005,n_quarters,n_test_total,static_once_n_cal_frozen,static_once_borrowed_pooled
24h,Crypto,2024Q1,1,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.04541415179314211,0.04154745152183216,0.026468568514544235,7,1810,0.0,False
24h,Crypto,2024Q2,30,0.9,0.9,0.9,0.0,0.0,0.0,0.04541415179314211,0.04154745152183216,0.026468568514544235,7,1810,0.0,False
24h,Crypto,2024Q3,43,0.813953488372093,0.8604651162790697,0.8604651162790697,0.086046511627907,0.03953488372093028,0.03953488372093028,0.04541415179314211,0.04154745152183216,0.026468568514544235,7,1810,0.0,False
24h,Crypto,2024Q4,481,0.9126819126819128,0.948024948024948,0.9230769230769232,0.012681912681912766,0.048024948024947944,0.023076923076923217,0.04541415179314211,0.04154745152183216,0.026468568514544235,7,1810,0.0,False
24h,Crypto,2025Q1,436,0.8990825688073395,0.8922018348623854,0.8899082568807339,0.0009174311926605228,0.0077981651376146655,0.010091743119266083,0.04541415179314211,0.04154745152183216,0.026468568514544235,7,1810,0.0,False
24h,Crypto,2025Q2,380,0.8184210526315789,0.8184210526315789,0.8894736842105263,0.08157894736842108,0.08157894736842108,0.010526315789473717,0.04541415179314211,0.04154745152183216,0.026468568514544235,7,1810,0.0,False
24h,Crypto,2025Q3,439,0.8633257403189066,0.8861047835990888,0.9020501138952164,0.03667425968109339,0.013895216400911181,0.0020501138952163656,0.04541415179314211,0.04154745152183216,0.026468568514544235,7,1810,0.0,False
24h,Politics,2022Q3,1,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.08623990334316499,0.09060409306526489,0.08713489433647247,12,1181,1.0,False
24h,Politics,2022Q4,1,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.08623990334316499,0.09060409306526489,0.08713489433647247,12,1181,1.0,False
24h,Politics,2023Q1,2,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.08623990334316499,0.09060409306526489,0.08713489433647247,12,1181,1.0,False
24h,Politics,2023Q2,4,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.08623990334316499,0.09060409306526489,0.08713489433647247,12,1181,1.0,False
24h,Politics,2023Q4,5,0.6,0.6,0.6,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.08623990334316499,0.09060409306526489,0.08713489433647247,12,1181,1.0,False
24h,Politics,2024Q1,6,0.8333333333333334,1.0,1.0,0.06666666666666665,0.09999999999999998,0.09999999999999998,0.08623990334316499,0.09060409306526489,0.08713489433647247,12,1181,1.0,False
24h,Politics,2024Q2,19,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.08623990334316499,0.09060409306526489,0.08713489433647247,12,1181,1.0,False
24h,Politics,2024Q3,15,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.033333333333333215,0.033333333333333215,0.033333333333333215,0.08623990334316499,0.09060409306526489,0.08713489433647247,12,1181,1.0,False
24h,Politics,2024Q4,29,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.07241379310344831,0.07241379310344831,0.07241379310344831,0.08623990334316499,0.09060409306526489,0.08713489433647247,12,1181,1.0,False
24h,Politics,2025Q1,249,0.8955823293172691,0.9036144578313252,0.9036144578313252,0.004417670682730912,0.0036144578313251907,0.0036144578313251907,0.08623990334316499,0.09060409306526489,0.08713489433647247,12,1181,1.0,False
24h,Politics,2025Q2,407,0.8968058968058968,0.914004914004914,0.9017199017199016,0.0031941031941031817,0.014004914004913993,0.001719901719901551,0.08623990334316499,0.09060409306526489,0.08713489433647247,12,1181,1.0,False
24h,Politics,2025Q3,443,0.9548532731376976,0.963882618510158,0.9345372460496614,0.05485327313769761,0.06388261851015797,0.03453724604966135,0.08623990334316499,0.09060409306526489,0.08713489433647247,12,1181,1.0,False
24h,Finance,2022Q2,240,0.8708333333333333,0.8708333333333333,0.875,0.029166666666666674,0.029166666666666674,0.025000000000000022,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2022Q3,416,0.8774038461538461,0.8822115384615384,0.8846153846153846,0.022596153846153877,0.017788461538461586,0.015384615384615441,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2022Q4,384,0.8854166666666666,0.90625,0.9036458333333334,0.014583333333333393,0.006249999999999978,0.003645833333333348,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2023Q1,373,0.868632707774799,0.8981233243967829,0.900804289544236,0.03136729222520107,0.0018766756032171372,0.0008042895442359477,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2023Q2,391,0.8695652173913043,0.90537084398977,0.9002557544757033,0.0304347826086957,0.005370843989769947,0.0002557544757032515,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2023Q3,502,0.8605577689243028,0.9143426294820716,0.900398406374502,0.03944223107569722,0.014342629482071545,0.00039840637450194727,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2023Q4,321,0.8660436137071651,0.8847352024922118,0.8940809968847352,0.03395638629283493,0.015264797507788197,0.0059190031152648315,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2024Q1,408,0.8823529411764706,0.9044117647058824,0.9019607843137256,0.01764705882352946,0.004411764705882337,0.0019607843137255943,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2024Q2,627,0.8963317384370016,0.9170653907496013,0.9090909090909092,0.003668261562998376,0.017065390749601228,0.00909090909090915,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2024Q3,359,0.8969359331476323,0.9080779944289692,0.9052924791086352,0.0030640668523677084,0.00807799442896917,0.005292479108635173,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2024Q4,299,0.882943143812709,0.9264214046822744,0.9163879598662208,0.017056856187291025,0.026421404682274385,0.01638795986622077,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2025Q1,277,0.8736462093862816,0.8953068592057761,0.8989169675090253,0.026353790613718453,0.004693140794223893,0.0010830324909747446,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2025Q2,354,0.8813559322033898,0.8954802259887006,0.9011299435028248,0.01864406779661021,0.004519774011299438,0.001129943502824804,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Finance,2025Q3,331,0.9093655589123868,0.9335347432024168,0.9154078549848944,0.009365558912386773,0.033534743202416784,0.015407854984894387,0.021239036199820347,0.01348459195447445,0.007268633256131386,14,5282,77.0,False
24h,Weather,2022Q2,714,0.8949579831932774,0.8949579831932774,0.8977591036414566,0.005042016806722671,0.005042016806722671,0.0022408963585434094,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2022Q3,735,0.9102040816326532,0.9102040816326532,0.9061224489795918,0.010204081632653184,0.010204081632653184,0.006122448979591799,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2022Q4,675,0.9214814814814816,0.9214814814814816,0.9037037037037036,0.021481481481481546,0.021481481481481546,0.0037037037037035425,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2023Q1,653,0.9249617151607964,0.9249617151607964,0.900459418070444,0.02496171516079637,0.02496171516079637,0.0004594180704440287,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2023Q2,889,0.9088863892013498,0.8976377952755905,0.8965129358830146,0.008886389201349765,0.0023622047244095112,0.0034870641169854055,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2023Q3,924,0.9123376623376624,0.895021645021645,0.9004329004329005,0.012337662337662425,0.004978354978354971,0.00043290043290045155,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2023Q4,958,0.8977035490605428,0.8810020876826722,0.894572025052192,0.002296450939457184,0.018997912317327836,0.005427974947808001,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2024Q1,1119,0.8856121537086684,0.8775692582663092,0.8945487042001787,0.014387846291331607,0.022430741733690862,0.005451295799821287,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2024Q2,1334,0.9085457271364318,0.9085457271364318,0.9062968515742128,0.008545727136431758,0.008545727136431758,0.006296851574212781,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2024Q3,1365,0.9223443223443224,0.9223443223443224,0.9047619047619048,0.022344322344322376,0.022344322344322376,0.004761904761904745,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2024Q4,1813,0.9266409266409268,0.9266409266409268,0.9023717595146168,0.026640926640926765,0.026640926640926765,0.002371759514616767,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2025Q1,2623,0.9233701868089972,0.9191765154403356,0.8997331300038124,0.023370186808997162,0.019176515440335606,0.0002668699961876353,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2025Q2,2747,0.930833636694576,0.9119038951583546,0.8995267564615944,0.03083363669457595,0.01190389515835455,0.00047324353840560995,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Weather,2025Q3,2704,0.9326923076923076,0.915680473372781,0.9016272189349112,0.032692307692307576,0.015680473372781,0.0016272189349111343,0.017430339369215453,0.015339312066327786,0.0030802536235740425,14,19253,1010.0,False
24h,Entertainment,2022Q2,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2333333333333334,0.2333333333333334,0.2333333333333334,0.08940440767842901,0.05746462902269023,0.054337756364500556,12,2297,25.0,False
24h,Entertainment,2023Q1,26,0.8846153846153846,0.9615384615384616,0.9615384615384616,0.015384615384615441,0.06153846153846154,0.06153846153846154,0.08940440767842901,0.05746462902269023,0.054337756364500556,12,2297,25.0,False
24h,Entertainment,2023Q2,3,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.08940440767842901,0.05746462902269023,0.054337756364500556,12,2297,25.0,False
