tau,domain,test_quarter,n_test,cov_static_once,cov_rolling,cov_aci_g0.005,absdev_static_once,absdev_rolling,absdev_aci_g0.005,mad_static_once,mad_rolling,mad_aci_g0.005,n_quarters,n_test_total,static_once_n_cal_frozen,static_once_borrowed_pooled
24h,Entertainment,2023Q3,7,0.8571428571428571,1.0,1.0,0.04285714285714293,0.09999999999999998,0.09999999999999998,0.08940440767842901,0.05746462902269023,0.054337756364500556,12,2297,25.0,False
24h,Entertainment,2023Q4,21,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.05238095238095242,0.05238095238095242,0.05238095238095242,0.08940440767842901,0.05746462902269023,0.054337756364500556,12,2297,25.0,False
24h,Entertainment,2024Q1,107,0.8598130841121495,0.8598130841121495,0.8598130841121495,0.040186915887850505,0.040186915887850505,0.040186915887850505,0.08940440767842901,0.05746462902269023,0.054337756364500556,12,2297,25.0,False
24h,Entertainment,2024Q2,52,0.8076923076923077,0.903846153846154,0.903846153846154,0.09230769230769231,0.0038461538461539435,0.0038461538461539435,0.08940440767842901,0.05746462902269023,0.054337756364500556,12,2297,25.0,False
24h,Entertainment,2024Q3,43,0.8837209302325582,0.9069767441860463,0.9069767441860463,0.016279069767441867,0.006976744186046324,0.006976744186046324,0.08940440767842901,0.05746462902269023,0.054337756364500556,12,2297,25.0,False
24h,Entertainment,2024Q4,199,0.7788944723618091,0.8391959798994975,0.8592964824120602,0.12110552763819094,0.060804020100502565,0.040703517587939775,0.08940440767842901,0.05746462902269023,0.054337756364500556,12,2297,25.0,False
24h,Entertainment,2025Q1,683,0.7833089311859444,0.8887262079062958,0.8989751098096632,0.11669106881405567,0.011273792093704271,0.0010248901903368024,0.08940440767842901,0.05746462902269023,0.054337756364500556,12,2297,25.0,False
24h,Entertainment,2025Q2,468,0.7756410256410257,0.9017094017094016,0.8995726495726496,0.12435897435897436,0.0017094017094015923,0.00042735042735042583,0.08940440767842901,0.05746462902269023,0.054337756364500556,12,2297,25.0,False
24h,Entertainment,2025Q3,679,0.7820324005891016,0.9175257731958762,0.9116347569955816,0.1179675994108984,0.017525773195876226,0.011634756995581585,0.08940440767842901,0.05746462902269023,0.054337756364500556,12,2297,25.0,False
24h,ALL,2022Q2,963,0.8868120456905504,0.8868120456905504,0.8899273104880582,0.013187954309449634,0.013187954309449634,0.010072689511941846,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2022Q3,1152,0.8984375,0.9001736111111112,0.8984375,0.0015625000000000222,0.00017361111111113825,0.0015625000000000222,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2022Q4,1060,0.9084905660377358,0.9160377358490566,0.9037735849056604,0.008490566037735792,0.016037735849056545,0.0037735849056603765,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2023Q1,1054,0.9041745730550284,0.9165085388994308,0.9022770398481972,0.00417457305502833,0.016508538899430825,0.00227703984819716,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2023Q2,1287,0.8974358974358975,0.9005439005439005,0.8982128982128982,0.002564102564102555,0.0005439005439005218,0.0017871017871018413,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2023Q3,1433,0.8939288206559665,0.9023028611304956,0.900907187718074,0.0060711793440335615,0.0023028611304956037,0.0009071877180739651,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2023Q4,1305,0.8896551724137931,0.881992337164751,0.8942528735632184,0.010344827586206917,0.018007662835249016,0.005747126436781658,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2024Q1,1643,0.8831405964698722,0.8837492391965917,0.8947048082775411,0.016859403530127826,0.01625076080340837,0.005295191722458958,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2024Q2,2067,0.9032414126753748,0.9119496855345912,0.9080793420416062,0.0032414126753748107,0.011949685534591192,0.008079342041606208,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2024Q3,1834,0.9143947655398036,0.9182115594329336,0.9045801526717556,0.014394765539803567,0.01821155943293362,0.0045801526717556,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2024Q4,2858,0.9079776067179846,0.9219734079776069,0.9027291812456264,0.007977606717984531,0.02197340797760683,0.0027291812456263775,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2025Q1,4682,0.8972661255873559,0.9098675779581376,0.9000427167876975,0.002733874412644166,0.00986757795813753,4.271678769751652e-05,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2025Q2,6188,0.898513251454428,0.8825145442792501,0.8981900452488688,0.0014867485455720697,0.017485455720749887,0.0018099547511312153,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
24h,ALL,2025Q3,10820,0.9132162661737524,0.9195009242144178,0.9043438077634012,0.013216266173752378,0.019500924214417736,0.004343807763401153,0.007593270035129726,0.013000116880038461,0.0037862555136738496,14,38346,,
6h,Sports,2024Q1,2,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.06803047279868384,0.062194668690639734,0.056127404451243916,7,16170,3.0,False
6h,Sports,2024Q2,5,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.06803047279868384,0.062194668690639734,0.056127404451243916,7,16170,3.0,False
6h,Sports,2024Q3,8,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.06803047279868384,0.062194668690639734,0.056127404451243916,7,16170,3.0,False
6h,Sports,2024Q4,35,0.9428571428571428,0.8285714285714286,0.8285714285714286,0.042857142857142816,0.0714285714285714,0.0714285714285714,0.06803047279868384,0.062194668690639734,0.056127404451243916,7,16170,3.0,False
6h,Sports,2025Q1,448,0.9486607142857144,0.9441964285714286,0.9196428571428572,0.04866071428571439,0.04419642857142858,0.019642857142857184,0.06803047279868384,0.062194668690639734,0.056127404451243916,7,16170,3.0,False
6h,Sports,2025Q2,4328,0.9493992606284658,0.887014787430684,0.8985674676524954,0.04939926062846578,0.012985212569316062,0.0014325323475046225,0.06803047279868384,0.062194668690639734,0.056127404451243916,7,16170,3.0,False
6h,Sports,2025Q3,11344,0.935296191819464,0.8932475317348378,0.9003878702397743,0.03529619181946397,0.0067524682651621815,0.0003878702397742684,0.06803047279868384,0.062194668690639734,0.056127404451243916,7,16170,3.0,False
6h,Crypto,2024Q1,43,0.8604651162790697,0.8837209302325582,0.9302325581395348,0.03953488372093028,0.016279069767441867,0.030232558139534738,0.025565562524105183,0.01566640824707347,0.007738506430321305,7,8832,0.0,False
6h,Crypto,2024Q2,522,0.89272030651341,0.9099616858237548,0.9080459770114944,0.0072796934865900775,0.009961685823754785,0.008045977011494343,0.025565562524105183,0.01566640824707347,0.007738506430321305,7,8832,0.0,False
6h,Crypto,2024Q3,737,0.8331071913161465,0.8683853459972863,0.8900949796472184,0.0668928086838535,0.03161465400271368,0.009905020352781624,0.025565562524105183,0.01566640824707347,0.007738506430321305,7,8832,0.0,False
6h,Crypto,2024Q4,2375,0.9002105263157895,0.9250526315789472,0.9027368421052632,0.0002105263157894388,0.025052631578947215,0.0027368421052631486,0.025565562524105183,0.01566640824707347,0.007738506430321305,7,8832,0.0,False
6h,Crypto,2025Q1,2224,0.8857913669064749,0.9060251798561152,0.9010791366906474,0.014208633093525158,0.00602517985611517,0.0010791366906474087,0.025565562524105183,0.01566640824707347,0.007738506430321305,7,8832,0.0,False
6h,Crypto,2025Q2,1191,0.869857262804366,0.8832913518052057,0.8984047019311503,0.030142737195633984,0.01670864819479434,0.0015952980688497265,0.025565562524105183,0.01566640824707347,0.007738506430321305,7,8832,0.0,False
6h,Crypto,2025Q3,1740,0.8793103448275862,0.9040229885057472,0.8994252873563219,0.020689655172413834,0.004022988505747227,0.0005747126436781436,0.025565562524105183,0.01566640824707347,0.007738506430321305,7,8832,0.0,False
6h,Politics,2022Q3,1,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.11093258264369221,0.12497256508220407,0.0969193835989373,12,1159,1.0,True
6h,Politics,2022Q4,1,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.11093258264369221,0.12497256508220407,0.0969193835989373,12,1159,1.0,True
6h,Politics,2023Q1,4,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.11093258264369221,0.12497256508220407,0.0969193835989373,12,1159,1.0,True
6h,Politics,2023Q2,4,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.11093258264369221,0.12497256508220407,0.0969193835989373,12,1159,1.0,True
6h,Politics,2023Q4,4,0.5,0.25,0.5,0.4,0.65,0.4,0.11093258264369221,0.12497256508220407,0.0969193835989373,12,1159,1.0,True
6h,Politics,2024Q1,3,0.6666666666666666,1.0,1.0,0.2333333333333334,0.09999999999999998,0.09999999999999998,0.11093258264369221,0.12497256508220407,0.0969193835989373,12,1159,1.0,True
