variant,variant_label,method,domain,tau,fit_scope,metric,value,primary_value,delta_vs_primary,n_test,primary_n_test,n_quarters
bins5,"HistogramBinning(5), primary filters",binning5,Sports,24h,pooled,log_loss,0.5785402777574191,0.5672316626548161,0.011308615102603059,8523.0,8523.0,7.0
bins5,"HistogramBinning(5), primary filters",binning5,Crypto,24h,pooled,log_loss,0.6066000768728963,0.5792410082659237,0.02735906860697257,1810.0,1810.0,7.0
bins5,"HistogramBinning(5), primary filters",binning5,Politics,24h,pooled,log_loss,0.5297145099511792,0.5186605036613231,0.011054006289856089,1181.0,1181.0,12.0
bins5,"HistogramBinning(5), primary filters",binning5,Finance,24h,pooled,log_loss,0.4716815399273441,0.45710402952004786,0.014577510407296213,5282.0,5282.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Weather,24h,pooled,log_loss,0.5065281202103106,0.503432886139897,0.003095234070413566,19253.0,19253.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Entertainment,24h,pooled,log_loss,0.4920581146341249,0.4682783970589175,0.023779717575207415,2297.0,2297.0,12.0
bins5,"HistogramBinning(5), primary filters",binning5,ALL,24h,pooled,log_loss,0.5223048830214023,0.5131730052525167,0.009131877768885577,38346.0,38346.0,14.0
price_02_98,"price in [0.02, 0.98], trades >= 10",conformal_mondrian,Sports,1w,per_domain,avg_set_size,1.1797590361445782,1.3317619328226282,-0.15200289667805,2075.0,1697.0,4.0
price_02_98,"price in [0.02, 0.98], trades >= 10",conformal_mondrian,Crypto,1w,per_domain,avg_set_size,1.4036697247706422,1.5168539325842696,-0.11318420781362737,109.0,89.0,4.0
price_02_98,"price in [0.02, 0.98], trades >= 10",conformal_mondrian,Politics,1w,per_domain,avg_set_size,1.1575875486381324,1.3819742489270386,-0.22438670028890617,1028.0,699.0,4.0
price_02_98,"price in [0.02, 0.98], trades >= 10",conformal_mondrian,Finance,1w,per_domain,avg_set_size,1.150174621653085,1.2484848484848485,-0.09831022683176349,859.0,660.0,4.0
price_02_98,"price in [0.02, 0.98], trades >= 10",conformal_mondrian,Weather,1w,per_domain,avg_set_size,1.1736842105263159,1.325925925925926,-0.15224171539961007,190.0,135.0,4.0
price_02_98,"price in [0.02, 0.98], trades >= 10",conformal_mondrian,Entertainment,1w,per_domain,avg_set_size,1.1397557666214382,1.247795414462081,-0.1080396478406429,1474.0,1134.0,4.0
price_02_98,"price in [0.02, 0.98], trades >= 10",conformal_mondrian,ALL,1w,per_domain,avg_set_size,1.16512641673932,1.3092433167195288,-0.1441168999802087,5735.0,4414.0,4.0
