tau,domain,fit_scope,method,metric,value,raw_value,delta_vs_raw,n_test,n_quarters
1mo,Finance,pooled,isotonic,brier,0.1104952495668625,0.11059002932551315,-9.477975865064547e-05,341.0,2.0
1mo,Finance,pooled,binning10,brier,0.11122494788108944,0.11059002932551315,0.0006349185555762915,341.0,2.0
1mo,Finance,pooled,venn_abers,brier,0.1111293812288562,0.11059002932551315,0.0005393519033430466,341.0,2.0
1mo,Finance,pooled,raw,ece,0.11131964809384158,0.11131964809384158,0.0,341.0,2.0
1mo,Finance,pooled,platt,ece,0.09133052023734033,0.11131964809384158,-0.019989127856501254,341.0,2.0
1mo,Finance,pooled,isotonic,ece,0.09633357368660332,0.11131964809384158,-0.014986074407238259,341.0,2.0
1mo,Finance,pooled,binning10,ece,0.08855688344229327,0.11131964809384158,-0.022762764651548306,341.0,2.0
1mo,Finance,pooled,venn_abers,ece,0.09695418258142198,0.11131964809384158,-0.0143654655124196,341.0,2.0
1mo,Finance,pooled,raw,log_loss,0.3646453885527843,0.3646453885527843,0.0,341.0,2.0
1mo,Finance,pooled,platt,log_loss,0.3530756044720467,0.3646453885527843,-0.011569784080737555,341.0,2.0
1mo,Finance,pooled,isotonic,log_loss,0.35731240392254043,0.3646453885527843,-0.007332984630243844,341.0,2.0
1mo,Finance,pooled,binning10,log_loss,0.35927668850374045,0.3646453885527843,-0.005368700049043829,341.0,2.0
1mo,Finance,pooled,venn_abers,log_loss,0.3590426282441094,0.3646453885527843,-0.005602760308674903,341.0,2.0
1mo,Politics,pooled,raw,brier,0.1364493392070484,0.1364493392070484,0.0,227.0,2.0
1mo,Politics,pooled,platt,brier,0.1390370631011589,0.1364493392070484,0.002587723894110494,227.0,2.0
1mo,Politics,pooled,isotonic,brier,0.14165843523286573,0.1364493392070484,0.005209096025817317,227.0,2.0
1mo,Politics,pooled,binning10,brier,0.14048046889781338,0.1364493392070484,0.004031129690764967,227.0,2.0
1mo,Politics,pooled,venn_abers,brier,0.14190779827151231,0.1364493392070484,0.005458459064463905,227.0,2.0
1mo,Politics,pooled,raw,ece,0.12149779735682814,0.12149779735682814,0.0,227.0,2.0
1mo,Politics,pooled,platt,ece,0.12512114014623668,0.12149779735682814,0.00362334278940854,227.0,2.0
1mo,Politics,pooled,isotonic,ece,0.11437464246073095,0.12149779735682814,-0.007123154896097189,227.0,2.0
1mo,Politics,pooled,binning10,ece,0.12539492165981325,0.12149779735682814,0.003897124302985111,227.0,2.0
1mo,Politics,pooled,venn_abers,ece,0.12264915382275275,0.12149779735682814,0.0011513564659246106,227.0,2.0
1mo,Politics,pooled,raw,log_loss,0.4257502991489704,0.4257502991489704,0.0,227.0,2.0
1mo,Politics,pooled,platt,log_loss,0.43077234811940807,0.4257502991489704,0.005022048970437676,227.0,2.0
1mo,Politics,pooled,isotonic,log_loss,0.47401249084924707,0.4257502991489704,0.04826219170027668,227.0,2.0
1mo,Politics,pooled,binning10,log_loss,0.43573107024956076,0.4257502991489704,0.009980771100590369,227.0,2.0
1mo,Politics,pooled,venn_abers,log_loss,0.4362927533635721,0.4257502991489704,0.010542454214601704,227.0,2.0
1mo,Sports,pooled,raw,brier,0.14776422535211264,0.14776422535211264,0.0,355.0,2.0
1mo,Sports,pooled,platt,brier,0.14922420568241224,0.14776422535211264,0.0014599803302995928,355.0,2.0
1mo,Sports,pooled,isotonic,brier,0.15303899737502163,0.14776422535211264,0.005274772022908991,355.0,2.0
1mo,Sports,pooled,binning10,brier,0.15040285365295158,0.14776422535211264,0.002638628300838941,355.0,2.0
1mo,Sports,pooled,venn_abers,brier,0.15248789212993613,0.14776422535211264,0.0047236667778234875,355.0,2.0
1mo,Sports,pooled,raw,ece,0.06250704225352108,0.06250704225352108,0.0,355.0,2.0
1mo,Sports,pooled,platt,ece,0.07063733666282855,0.06250704225352108,0.008130294409307473,355.0,2.0
1mo,Sports,pooled,isotonic,ece,0.10000699506936903,0.06250704225352108,0.03749995281584795,355.0,2.0
1mo,Sports,pooled,binning10,ece,0.07175201029198942,0.06250704225352108,0.009244968038468346,355.0,2.0
1mo,Sports,pooled,venn_abers,ece,0.10013694606439028,0.06250704225352108,0.0376299038108692,355.0,2.0
1mo,Sports,pooled,raw,log_loss,0.4584118446033899,0.4584118446033899,0.0,355.0,2.0
1mo,Sports,pooled,platt,log_loss,0.46264239392865364,0.4584118446033899,0.004230549325263733,355.0,2.0
1mo,Sports,pooled,isotonic,log_loss,0.49497780473064845,0.4584118446033899,0.036565960127258545,355.0,2.0
1mo,Sports,pooled,binning10,log_loss,0.46805752915667165,0.4584118446033899,0.009645684553281741,355.0,2.0
1mo,Sports,pooled,venn_abers,log_loss,0.46629823149472255,0.4584118446033899,0.007886386891332642,355.0,2.0
1mo,Weather,pooled,raw,brier,0.17961764705882352,0.17961764705882352,0.0,85.0,2.0
1mo,Weather,pooled,platt,brier,0.18413196323144337,0.17961764705882352,0.004514316172619853,85.0,2.0
1mo,Weather,pooled,isotonic,brier,0.1889868794739836,0.17961764705882352,0.009369232415160078,85.0,2.0
1mo,Weather,pooled,binning10,brier,0.1857794221316934,0.17961764705882352,0.006161775072869885,85.0,2.0
1mo,Weather,pooled,venn_abers,brier,0.18680440433886486,0.17961764705882352,0.007186757280041339,85.0,2.0
1mo,Weather,pooled,raw,ece,0.15023529411764702,0.15023529411764702,0.0,85.0,2.0
1mo,Weather,pooled,platt,ece,0.15615078602876972,0.15023529411764702,0.0059154919111227,85.0,2.0
1mo,Weather,pooled,isotonic,ece,0.12672476619190867,0.15023529411764702,-0.02351052792573835,85.0,2.0
1mo,Weather,pooled,binning10,ece,0.13127450252944164,0.15023529411764702,-0.018960791588205378,85.0,2.0
1mo,Weather,pooled,venn_abers,ece,0.1412025249326264,0.15023529411764702,-0.009032769185020634,85.0,2.0
1mo,Weather,pooled,raw,log_loss,0.5361789777815285,0.5361789777815285,0.0,85.0,2.0
1mo,Weather,pooled,platt,log_loss,0.5443466473031042,0.5361789777815285,0.008167669521575771,85.0,2.0
1mo,Weather,pooled,isotonic,log_loss,0.5661083545980228,0.5361789777815285,0.029929376816494324,85.0,2.0
1mo,Weather,pooled,binning10,log_loss,0.545086281312799,0.5361789777815285,0.00890730353127056,85.0,2.0
1mo,Weather,pooled,venn_abers,log_loss,0.553663975161591,0.5361789777815285,0.017484997380062595,85.0,2.0
1w,ALL,per_domain,raw,brier,0.1537014308012487,0.1537014308012487,0.0,3844.0,4.0
1w,ALL,per_domain,platt,brier,0.15380203558443029,0.1537014308012487,0.00010060478318157928,3844.0,4.0
1w,ALL,per_domain,isotonic,brier,0.15571937988783607,0.1537014308012487,0.0020179490865873673,3844.0,4.0
1w,ALL,per_domain,binning10,brier,0.15662110196151688,0.1537014308012487,0.0029196711602681724,3844.0,4.0
1w,ALL,per_domain,venn_abers,brier,0.1551557644802177,0.1537014308012487,0.0014543336789689942,3844.0,4.0
