method,fit_scope,domain,tau,alpha,metric,value,n_test
Conformal-mondrian,pooled,ALL,24h,NA,log_loss,0.5300667586092807,50737
Conformal-mondrian,pooled,ALL,24h,NA,ece,0.014140962216922567,50737
Conformal-mondrian,pooled,Sports,24h,NA,brier,0.19531395595336243,25473
Conformal-mondrian,pooled,Sports,24h,NA,log_loss,0.5712214990662389,25473
Conformal-mondrian,pooled,Sports,24h,NA,ece,0.01380520551171829,25473
Conformal-mondrian,pooled,Crypto,24h,NA,brier,0.1920226320582878,2196
Conformal-mondrian,pooled,Crypto,24h,NA,log_loss,0.5723052261451779,2196
Conformal-mondrian,pooled,Crypto,24h,NA,ece,0.03923952641165759,2196
Conformal-mondrian,pooled,Politics,24h,NA,brier,0.17956612665684832,2037
Conformal-mondrian,pooled,Politics,24h,NA,log_loss,0.5307044973267784,2037
Conformal-mondrian,pooled,Politics,24h,NA,ece,0.03870397643593518,2037
Conformal-mondrian,pooled,Finance,24h,NA,brier,0.1418118175535591,2894
Conformal-mondrian,pooled,Finance,24h,NA,log_loss,0.44794017981694473,2894
Conformal-mondrian,pooled,Finance,24h,NA,ece,0.016233586731167943,2894
Conformal-mondrian,pooled,Weather,24h,NA,brier,0.15894671773873995,15142
Conformal-mondrian,pooled,Weather,24h,NA,log_loss,0.48426242696754407,15142
Conformal-mondrian,pooled,Weather,24h,NA,ece,0.017211728965790502,15142
Conformal-mondrian,pooled,Entertainment,24h,NA,brier,0.1473897161936561,2995
Conformal-mondrian,pooled,Entertainment,24h,NA,log_loss,0.459567278344749,2995
Conformal-mondrian,pooled,Entertainment,24h,NA,ece,0.034110183639398994,2995
Conformal-mondrian,pooled,ALL,24h,0.1,coverage,0.9547273193133217,50737
Conformal-mondrian,pooled,ALL,24h,0.1,avg_set_size,1.6890434988272858,50737
Conformal-mondrian,pooled,Sports,24h,0.1,coverage,1.0,25473
Conformal-mondrian,pooled,Sports,24h,0.1,avg_set_size,2.0,25473
Conformal-mondrian,pooled,Crypto,24h,0.1,coverage,0.8770491803278688,2196
Conformal-mondrian,pooled,Crypto,24h,0.1,avg_set_size,1.3870673952641166,2196
Conformal-mondrian,pooled,Politics,24h,0.1,coverage,0.9823269513991163,2037
Conformal-mondrian,pooled,Politics,24h,0.1,avg_set_size,1.759941089837997,2037
Conformal-mondrian,pooled,Finance,24h,0.1,coverage,0.917069799585349,2894
Conformal-mondrian,pooled,Finance,24h,0.1,avg_set_size,1.3106427090532136,2894
Conformal-mondrian,pooled,Weather,24h,0.1,coverage,0.9239202218993527,15142
Conformal-mondrian,pooled,Weather,24h,0.1,avg_set_size,1.407079646017699,15142
Conformal-mondrian,pooled,Entertainment,24h,0.1,coverage,0.8,2995
Conformal-mondrian,pooled,Entertainment,24h,0.1,avg_set_size,1.0086811352253757,2995
Conformal-mondrian,pooled,ALL,24h,0.05,coverage,0.976526006661805,50737
Conformal-mondrian,pooled,ALL,24h,0.05,avg_set_size,1.7869799160376056,50737
Conformal-mondrian,pooled,Sports,24h,0.05,coverage,1.0,25473
Conformal-mondrian,pooled,Sports,24h,0.05,avg_set_size,2.0,25473
Conformal-mondrian,pooled,Crypto,24h,0.05,coverage,0.9271402550091075,2196
Conformal-mondrian,pooled,Crypto,24h,0.05,avg_set_size,1.5897085610200363,2196
Conformal-mondrian,pooled,Politics,24h,0.05,coverage,1.0,2037
Conformal-mondrian,pooled,Politics,24h,0.05,avg_set_size,2.0,2037
Conformal-mondrian,pooled,Finance,24h,0.05,coverage,0.9612992398064962,2894
Conformal-mondrian,pooled,Finance,24h,0.05,avg_set_size,1.582930200414651,2894
Conformal-mondrian,pooled,Weather,24h,0.05,coverage,0.9595165764099854,15142
Conformal-mondrian,pooled,Weather,24h,0.05,avg_set_size,1.5714568749174482,15142
Conformal-mondrian,pooled,Entertainment,24h,0.05,coverage,0.8978297161936561,2995
Conformal-mondrian,pooled,Entertainment,24h,0.05,avg_set_size,1.2617696160267111,2995
Conformal-mondrian,pooled,ALL,24h,0.2,coverage,0.9038177267083194,50737
Conformal-mondrian,pooled,ALL,24h,0.2,avg_set_size,1.5480812819047243,50737
Conformal-mondrian,pooled,Sports,24h,0.2,coverage,1.0,25473
Conformal-mondrian,pooled,Sports,24h,0.2,avg_set_size,2.0,25473
Conformal-mondrian,pooled,Crypto,24h,0.2,coverage,0.7900728597449909,2196
Conformal-mondrian,pooled,Crypto,24h,0.2,avg_set_size,1.1539162112932604,2196
Conformal-mondrian,pooled,Politics,24h,0.2,coverage,0.7771232204221895,2037
Conformal-mondrian,pooled,Politics,24h,0.2,avg_set_size,1.1266568483063328,2037
Conformal-mondrian,pooled,Finance,24h,0.2,coverage,0.778852798894264,2894
Conformal-mondrian,pooled,Finance,24h,0.2,avg_set_size,0.9485141672425709,2894
Conformal-mondrian,pooled,Weather,24h,0.2,coverage,0.8319244485536917,15142
Conformal-mondrian,pooled,Weather,24h,0.2,avg_set_size,1.1446968696341302,15142
Conformal-mondrian,pooled,Entertainment,24h,0.2,coverage,0.7395659432387313,2995
Conformal-mondrian,pooled,Entertainment,24h,0.2,avg_set_size,0.8988313856427379,2995
