domain,time_bin,size_bin,n_ours,slope_ours,slope_le,delta
Politics,1-3h,Medium,48621,0.8967491997071966,0.8967491997071967,-1.1102230246251565e-16
Politics,1-3h,Large,13756,0.9451170551680115,0.9451170551680116,-1.1102230246251565e-16
Politics,3-6h,Single,8994,0.837264385441085,0.837264385441085,0.0
Politics,3-6h,Small,36339,0.9317162863661173,0.9317162863661173,0.0
Politics,3-6h,Medium,51601,0.991946377295067,0.9919463772950669,1.1102230246251565e-16
Politics,3-6h,Large,13058,1.4185200512979514,1.4185200512979512,2.220446049250313e-16
Politics,6-12h,Single,7860,1.1002170346478475,1.1002170346478477,-2.220446049250313e-16
Politics,6-12h,Small,32097,1.0971634649042665,1.0971634649042663,2.220446049250313e-16
Politics,6-12h,Medium,48475,1.158056226920271,1.158056226920271,0.0
Politics,6-12h,Large,16456,1.6681413867738308,1.6681413867738308,0.0
Politics,12-24h,Single,16688,0.8644190424856526,0.8644190424856526,0.0
Politics,12-24h,Small,65195,0.9908107336218682,0.990810733621868,2.220446049250313e-16
Politics,12-24h,Medium,108433,1.102705916890454,1.102705916890454,0.0
Politics,12-24h,Large,39735,1.5750901931775714,1.5750901931775714,0.0
Politics,24-48h,Single,11446,0.9854927782469061,0.9854927782469062,-1.1102230246251565e-16
Politics,24-48h,Small,41698,1.1010515786332675,1.1010515786332675,0.0
Politics,24-48h,Medium,67100,1.2476271811196142,1.2476271811196142,0.0
Politics,24-48h,Large,29078,1.575296619237216,1.575296619237216,0.0
Politics,2d-1w,Single,42196,1.0879427650655704,1.0879427650655702,2.220446049250313e-16
Politics,2d-1w,Small,125717,1.1405228320772374,1.1405228320772374,0.0
Politics,2d-1w,Medium,187662,1.368544168790924,1.368544168790924,0.0
Politics,2d-1w,Large,109561,1.897990489226665,1.897990489226665,0.0
Politics,1w-1mo,Single,76857,1.5351536347505639,1.535153634750564,-2.220446049250313e-16
Politics,1w-1mo,Small,211383,1.4781816096311617,1.4781816096311615,2.220446049250313e-16
Politics,1w-1mo,Medium,302794,1.4900967469042483,1.490096746904248,2.220446049250313e-16
Politics,1w-1mo,Large,190706,1.8690164086648409,1.8690164086648409,0.0
Politics,1mo+,Single,84496,1.2316984101650952,1.2316984101650952,0.0
Politics,1mo+,Small,258008,1.3518278044468122,1.351827804446812,2.220446049250313e-16
Politics,1mo+,Medium,804079,1.532325506170793,1.532325506170793,0.0
Politics,1mo+,Large,884139,1.7420305976639128,1.7420305976639126,2.220446049250313e-16
Sports,0-1h,Single,380143,1.0964623859602043,1.0964623859602045,-2.220446049250313e-16
Sports,0-1h,Small,1674651,1.1085434270659467,1.1085434270659469,-2.220446049250313e-16
Sports,0-1h,Medium,4465923,1.1119042626217932,1.1119042626217932,0.0
Sports,0-1h,Large,3461171,1.1005437872704609,1.1005437872704609,0.0
Sports,1-3h,Single,636588,0.9110683991729195,0.9110683991729196,-1.1102230246251565e-16
Sports,1-3h,Small,2715459,0.9456988492891348,0.9456988492891348,0.0
Sports,1-3h,Medium,6879602,0.9442499575539042,0.9442499575539042,0.0
Sports,1-3h,Large,5257834,0.9611323506190967,0.9611323506190969,-1.1102230246251565e-16
Sports,3-6h,Single,234429,0.9037914758960588,0.9037914758960588,0.0
Sports,3-6h,Small,1062935,0.9135618064891748,0.9135618064891748,0.0
Sports,3-6h,Medium,2640162,0.8904913616658948,0.8904913616658949,-1.1102230246251565e-16
Sports,3-6h,Large,1740206,0.8968282448593722,0.8968282448593722,0.0
Sports,6-12h,Single,152165,1.0324494949889518,1.0324494949889518,0.0
Sports,6-12h,Small,607563,1.0530434126359114,1.0530434126359112,2.220446049250313e-16
Sports,6-12h,Medium,1228964,1.0262148543355476,1.0262148543355478,-2.220446049250313e-16
Sports,6-12h,Large,594706,1.0030490774992318,1.0030490774992316,2.220446049250313e-16
Sports,12-24h,Single,126948,1.0633645159766616,1.0633645159766616,0.0
Sports,12-24h,Small,443417,1.061803348456853,1.061803348456853,0.0
Sports,12-24h,Medium,831375,1.0506220807361304,1.0506220807361304,0.0
Sports,12-24h,Large,404933,1.053717921723631,1.053717921723631,0.0
Sports,24-48h,Single,133201,1.0805674868387618,1.0805674868387616,2.220446049250313e-16
Sports,24-48h,Small,399442,1.077750280417365,1.0777502804173649,2.220446049250313e-16
Sports,24-48h,Medium,656469,1.0645186249832101,1.0645186249832097,4.440892098500626e-16
Sports,24-48h,Large,299113,1.0761655416147955,1.0761655416147955,0.0
Sports,2d-1w,Single,188753,1.0780933766837375,1.0780933766837375,0.0
Sports,2d-1w,Small,538069,1.0084481773690277,1.0084481773690277,0.0
Sports,2d-1w,Medium,888875,0.9904833318924495,0.9904833318924496,-1.1102230246251565e-16
